Timestamp;Open;High;Low;Close;Volume
1500004800000;0.08000000;0.08000000;0.08000000;0.08000000;0.72600000
1500005100000;0.08000000;0.08000100;0.08000000;0.08000100;3.34700000
1500005400000;0.08000100;0.08640000;0.08000100;0.08640000;4.67900000
1500005700000;0.08528900;0.08562000;0.08512800;0.08512800;53.43100000
1500006000000;0.08527400;0.08600000;0.08527400;0.08600000;5.57600000
1500006300000;0.08525000;0.08581100;0.08525000;0.08581100;2.03500000
1500006600000;0.08581100;0.08600000;0.08581100;0.08600000;17.94300000
1500006900000;0.08618000;0.08618000;0.08618000;0.08618000;18.23700000
1500007200000;0.08618000;0.08638000;0.08618000;0.08631400;17.58900000
1500007500000;0.08631400;0.08635000;0.08631400;0.08635000;13.63700000
1500007800000;0.08635000;0.08638000;0.08635000;0.08638000;22.49000000
1500008100000;0.08638000;0.08638000;0.08630900;0.08634700;6.69100000
1500008400000;0.08587400;0.08620500;0.08587400;0.08597800;1.30400000
1500008700000;0.08581600;0.08581600;0.08482400;0.08482400;9.77000000
1500009000000;0.08480300;0.08480300;0.08460800;0.08468000;5.44600000
1500009300000;0.08458100;0.08619600;0.08458100;0.08619600;8.83300000
1500009600000;0.08559000;0.08581000;0.08549600;0.08549600;4.46100000
1500009900000;0.08549600;0.08585000;0.08548800;0.08585000;8.85000000
1500010200000;0.08585000;0.08585000;0.08582400;0.08582400;10.73500000
1500010500000;0.08593800;0.08593800;0.08536700;0.08536700;10.36000000
1500010800000;0.08536700;0.08600000;0.08536700;0.08566900;20.92900000
1500011100000;0.08566900;0.08594200;0.08536700;0.08536700;5.18100000
1500011400000;0.08536700;0.08595700;0.08536700;0.08557900;14.28300000
1500011700000;0.08550600;0.08578200;0.08534100;0.08539900;13.84000000
1500012000000;0.08539900;0.08546000;0.08539800;0.08546000;0.60600000
1500012300000;0.08547000;0.08620400;0.08540200;0.08618600;101.72200000
1500012600000;0.08627400;0.08700100;0.08627400;0.08697300;59.80700000
1500012900000;0.08709700;0.08709700;0.08689800;0.08689900;28.80000000
1500013200000;0.08691500;0.08709700;0.08690900;0.08709700;5.26200000
1500013500000;0.08688300;0.08688300;0.08688300;0.08688300;1.25400000
1500013800000;0.08678000;0.08678000;0.08678000;0.08678000;0.57700000
1500014100000;0.08678000;0.08688300;0.08678000;0.08688300;1.29600000
1500014400000;0.08690900;0.08711700;0.08690900;0.08711700;9.43300000
1500014700000;0.08711700;0.08711700;0.08711700;0.08711700;0.00000000
1500015000000;0.08725300;0.08737900;0.08725300;0.08737900;1.05800000
1500015300000;0.08725300;0.08725300;0.08720000;0.08720000;5.19200000
1500015600000;0.08720000;0.08720000;0.08720000;0.08720000;0.00000000
1500015900000;0.08700500;0.08757800;0.08700500;0.08757800;132.81900000
1500016200000;0.08757800;0.08757800;0.08757800;0.08757800;0.00000000
1500016500000;0.08757800;0.08757800;0.08757800;0.08757800;0.00000000
1500016800000;0.08757800;0.08757800;0.08757800;0.08757800;0.00000000
1500017100000;0.08731200;0.08757800;0.08700000;0.08757800;12.74800000
1500017400000;0.08844700;0.08856600;0.08844700;0.08856600;3.66300000
